# angle target_eps final_f eps_diff_val result
-1.2233537344 1 0 0.00746978 Success
-1.2315055390 0.1 2 0.00117348 Success
-1.2338453686 0.1 2 0.00118689 Success
-1.2611610850 1 0 0.00456142 Success
-1.2698128846 0.1 2 0.00117008 Success
-1.2738077369 1 0 0.00374768 Success
-1.3027836435 1 0 0.00218422 Success
-1.3107492676 0.01 3 1.2349e-05 Success
-1.3119455465 1 0 0.00177711 Success
-1.3182905071 1 0 0.00151975 Success
-1.3277361913 0.1 0 0.00117388 Success
-1.3513745812 1 0 0.00050373 Success
-1.3526848035 0.1 0 0.000474755 Success
-1.3562216719 0.01 3 1.21388e-05 Success
-1.3654451802 0.1 0 0.000237436 Success
-1.3764742633 0.01 3 1.2486e-05 Success
-1.3862210954 0.01 3 1.23654e-05 Success
-1.3874805246 0.01 3 1.24302e-05 Success
-1.4268073041 1 0 0.000233228 Success
-1.4392216434 1 0 0.000461335 Success
-1.4576794676 0.01 3 1.19808e-05 Success
-1.4621302332 0.1 0 0.00108451 Success
-1.4692954599 0.01 3 1.24919e-05 Success
-1.4733982038 1 0 0.00148726 Success
-1.4813063654 0.1 2 0.00123677 Success
-1.4968517925 0.1 2 0.00117004 Success
-1.4997171205 1 0 0.00267507 Success
-1.5073489310 0.01 2 1.13945e-05 Success
-1.5124031515 0.01 2 1.12803e-05 Success
-1.5360798591 1 0 0.00488517 Success
-1.5375429214 1 0 0.0049879 Success
-1.5516732454 1 0 0.00603502 Success
0.0143236457 0.1 0 5.12915e-05 Success
0.0169033182 1 0 7.14301e-05 Success
0.0209642221 1 0 0.000109874 Success
0.0498498777 1 0 0.00062122 Success
0.0610189084 0.1 0 0.000930755 Success
0.0672503970 1 0 0.00113055 Success
0.0673591982 0.1 0 0.00113421 Success
0.0706451161 0.1 0 0.00124755 Success
0.1165760218 0.01 2 1.0159e-05 Success
0.1202301586 0.1 2 0.00119603 Success
0.1211962507 1 0 0.00367101 Success
0.1285528167 1 0 0.00413003 Success
0.1408941339 1 0 0.00496074 Success
0.1504994934 0.01 3 1.22969e-05 Success
0.1715905222 1 0 0.00735631 Success
0.1860542658 1 0 0.00864781 Success
0.1941007783 0.1 2 0.00119362 Success
0.2162956678 0.1 2 0.00122876 Success
0.2406075064 0.01 3 1.24403e-05 Success
0.2550405261 0.1 2 0.00119207 Success
0.2662054446 1 0 0.0176902 Success
0.2679712634 1 0 0.0179253 Success
0.2913247207 0.01 3 1.18733e-05 Success
0.2942658333 0.01 3 1.20895e-05 Success
0.2993708986 0.1 2 0.00123613 Success
0.3046816827 0.01 3 1.20373e-05 Success
0.3139888514 0.1 2 0.00116978 Success
0.3162436936 0.01 3 1.24803e-05 Success
0.3238753011 0.01 3 1.245e-05 Success
0.3424599204 1 0 0.0292481 Success
0.3444692541 0.1 2 0.00109221 Success
0.3460064399 0.01 2 1.13669e-05 Success
0.3713042686 0.01 3 1.16183e-05 Success
0.3901401909 1 0 0.0236679 Success
0.4007208687 0.1 2 0.00122828 Success
0.4188091308 1 0 0.0194736 Success
0.4203216872 0.01 3 1.21433e-05 Success
0.4430353767 1 0 0.0162465 Success
0.4552477908 0.01 3 1.24482e-05 Success
0.4686215585 0.1 2 0.00119131 Success
0.4754362031 0.01 3 1.23879e-05 Success
0.4756370120 0.01 3 1.22924e-05 Success
0.4882762145 1 0 0.0109997 Success
0.4941353832 1 0 0.0103946 Success
0.4999952337 0.001 4 1.19838e-07 Success
0.5105606318 1 0 0.00878928 Success
0.5168840724 1 0 0.00820706 Success
0.5374470459 0.01 3 1.18147e-05 Success
0.5379752933 0.1 2 0.0012024 Success
0.5537757762 1 0 0.0052074 Success
0.5741055613 0.01 2 5.6863e-06 Success
0.5768438816 1 0 0.00367656 Success
0.5851653769 0.1 2 0.00120132 Success
0.5857343954 1 0 0.00315746 Success
0.5957592343 0.1 2 0.00116993 Success
0.5965696220 1 0 0.00257816 Success
0.6031162650 0.1 2 0.00118039 Success
0.6101321775 0.01 3 1.22854e-05 Success
0.6111339188 0.01 3 1.24262e-05 Success
0.6322995164 1 0 0.00108337 Success
0.6362042598 0.1 0 0.000958675 Success
0.6649768810 1 0 0.000274804 Success
0.6657924262 0.01 3 1.22765e-05 Success
0.6765471665 0.01 3 1.21951e-05 Success
0.6868889497 0.1 0 3.15998e-05 Success
0.7006415757 0.01 0 1.57487e-06 Success
0.7032636433 0.1 0 6.5842e-06 Success
0.7107987091 0.01 3 1.18412e-05 Success
0.7126976153 0.1 0 5.30412e-05 Success
0.7161438953 0.01 3 1.23351e-05 Success
0.7195175946 0.01 3 1.23889e-05 Success
0.7249699675 0.1 0 0.00018007 Success
0.7289023207 0.01 3 1.22533e-05 Success
0.7612606948 0.1 0 0.000996235 Success
0.7692962637 0.001 4 1.23544e-07 Success
0.7907185759 1 0 0.0021427 Success
0.8041991329 0.01 3 1.22108e-05 Success
0.8064400516 1 0 0.00293196 Success
0.8121575036 1 0 0.00324959 Success
0.8224091974 1 0 0.00385998 Success
0.8405016195 0.1 2 0.00118981 Success
0.8481641507 0.01 3 1.24601e-05 Success
0.8509823488 0.1 2 0.00113864 Success
